objectid,title,creator,creator_title,date,description,subject,type,format,language,identifier,filename_og,display_template,image_large,image_small,image_thumb,object location,collection,location,latitude,longitude,source,format original,type-og,identifier-og,language,rights,rightsstatement
cb033,Concilio de Arte Popular brochure,Concilio de Arte Popular,,1979,"CPMR, de la Riva Family Archive, Chicano, California, Mexican American, Gay, Queer, Lesbian, membership, brochure, Concilio de Arte Popular, Centro de Arte, Chicano art, 1979, 1970s, Royal Chicano Air Force, RCAF", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; membership; brochure; Concilio de Arte Popular; Centro de Arte; Chicano art; 1979; 1970s; Royal Chicano Air Force; RCAF,Image;Stillimage,application/pdf,,cb033,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb033.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb033.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb033.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb033.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"8.5"" by 11""",brochure,500_OHR_06052022_021,,Concilio de Arte Popular,
cb034,Angela Davis event poster at USC,Osa Hidalgo de la Riva,,3/24/2006,"A flyer, designed by Osa, advertising a speaking event at the Bovard Auditorium at USC. While at USC, Osa helped start the Latino Cinema Society and served as a representative for that org within the university. A fellow student in that larger group, one of the few other women of color, expressed interest in having Angela speak at the school and Osa was able to help make that happen via her relationship with Angela. This speaking event became a collaborative project between multiple student, com", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; poster; event; flyer; University of Southern California; Latino Cinema Society; Film and Television Criticism; Angela Davis; Bovard Auditorium; rainbow; speech; graduate school,Image;Stillimage,application/pdf,,cb034,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb034.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb034.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb034.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb034.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"3""x5""",flyer,500_OHR_06052022_020,,Osa Hidalgo de la Riva,
cb036,"Mama Sappho: Poems con Sabor a Caló, book",Osa Hidalgo de la Riva,,2018,"This collection of poems was Osa's Master's thesis within the English department with an emphasis in Creative Writing from San Francisco State (completed in May of 1980). The forward was written by Angela Davis, who was teaching at SF State. They met because Osa's incarcerated cousin (at Soledad prison) asked her to ask Angela if she could find him a lawyer. The book was published in part because Osa's professional and personal communities (Gina Davis, in particular) were always encouraging her", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; 2018; Joteria Studies; Master's thesis; San Francisco State University; creative writing; Gina Davis; Korima Press; Lorenzo Herrera y Lozano; poetry; Angela Davis; Soledad prison; Osa Hidalgo de la Riva; Mama Sappho,Image;Stillimage,application/pdf,,cb036,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb036.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb036.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb036.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb036.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"5""x8""",book,500_OHR_06042022_018,,Osa Hidalgo de la Riva,
cb039,"Spectator journal, Elizabeth Hidalgo de la Riva contribution","Osa Hidalgo de la Riva, Elizabeth Hidalgo de la Riva",,2006,"Interview with Elizabeth M. Hidalgo (""Liz"") within Spectator Volume 26, No. 1 Spring 2006 Issue ( a journal published by the University of Southern California) edited by Osa while completing her PhD in Film and Television Criticism. The brief biography at the top of the page reads: ""Elizabeth M. Hidalgo has worked in a variety of media, from leather-making, haiku writing, cross-stitch sewing, jewelry making and precious stone cutting. She was one of the few earlier female Park R", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; 2006; 2000s; Spectator Magazine; University of Southern California; PhD; Doctorate; Film and Television Criticism; Lola de la Riva; poetry; film; Elizabeth M. Hidalgo; Liz Hidalgo de la Riva; prejudice; sexual orientation; gender; race; diversity,Image;Stillimage,application/pdf,,cb039,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb039.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb039.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb039.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb039.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"7""x10""",magazine journal,500_OHR_06042022_015,,"Osa Hidalgo de la Riva, Elizabeth Hidalgo de la Riva",
cb040,"Spectator Journal, Celia de la Riva Rubio contribution","Osa Hidalgo de la Riva, Celia de la Riva Rubio",,2006,"Celia de la Riva Rubio's contribution to Spectator Volume 26, No. 1 Spring 2006 Issue ( a journal published by the University of Southern California) edited by Osa while completing her PhD in Film and Television Criticism. This piece is subtitled 'Activist Feminist During the 70's"" and details Celia's deep care for her students and the essential role she consciously took as one of two teachers who could be trusted to counsel and help with sexual or reproductive issues. Celia describes counseling", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; activist; feminism; Aunt Sally; Celia de la Riva; teacher; Stockton; Hayward; 1970s; 2006; pregnancy; venereal disease; underage pregnancy,Image;Stillimage,application/pdf,,cb040,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb040.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb040.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb040.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb040.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"ex: 8.5"" by 11""",magazine journal,500_OHR_06042022_014,,"Osa Hidalgo de la Riva, Celia de la Riva Rubio",
cb042,"Spectator, University of Southern California Journal of Film and Television Criticism",University of Southern California School of Film and Television Criticism (now called the Division of Cinema & Media Studies),,2006,"Cover of Spectator Volume 26, No. 1 Spring 2006 issue (a journal published by the University of Southern California) which was edited by Osa while she was a student completing her PhD in Film and Television Criticism. She made sure to highlight Chicana artists, her family, and a few other feminist alies of all genders. Full title is, ""Spectator: Chicana Spectators and Mediamakers Imagining TransCultural Diversity."" The cover image was designed by Lola de la Riva and is described in a poem contai", de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; 2006; 2000s; Spectator Magazine; University of Southern California; PhD; Doctorate; Film and Television Criticism; Lola de la Riva; poetry; film; Los Angeles; interviews; Alma Lopez; Diane; Elizabeth; Rhonda Chabran; Maria Elena Chavez; Suzanna Sanchez; Sylvia Morales; Nancy de los Santos; Rosa-Linda Fregoso; Yolanda M. Lopez; Rosio Alvarez; Elizabeth M. Hidalgo; Norma E. Cantu; Chela Sandoval; Maria Herrera-Sobek; Cherrie Moraga; Celia Herrera Rodriguez,Image;Stillimage,application/pdf,,cb042,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb042.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb042.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb042.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb042.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"7""x10""",magazine journal,500_OHR_05292022_013,,University of Southern California School of Film and Television Criticism (now called the Division of Cinema & Media Studies),
cb045,Dichosas Terri y Liz poem,Celia de la Riva Rubio,,1994,Dichosas Terri y Liz poem published by Celia de la Riva Rubio in English and Spanish. This poem was dedicated to Osa Hidalgo de la Riva and her sister Liz de la Riva and illustrates their connection., de la Riva Family Archive; Chicano; california; Mexican American; Gay; Queer; Lesbian; poetry; Morelia; Mexico; feminist; Colectivo Artistico Morelia A.C.; 1994; 1990s; aunt; niece; tía; Celia de la Riva Rubio; Aunt Sally; bilingual; English; Spanish,Image;Stillimage,application/pdf,,cb045,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb045.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb045.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb045.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb045.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"5""x8""",book,500_OHR_05152022_010,,Celia de la Riva Rubio,
cb051,Angie de la Riva nuclear family,Unknown,,1926,"Left to right: Francisco Gabriel de la Riva, (baby) Gabriel de la Riva, (on bike) Francisco de la Riva, (woman) Angela Rubio de la Riva. Grandparents and uncles to Osa Hidalgo de la Riva on her mother's side. They are likely in Berkeley, California. Back of de la Riva nuclear family photograph. Handwritten text in pencil reads: ""Papa Frank holding Gab. Mama Angela and Frank Jr (Kiki) de la Riva--Berkeley, Cal 1926""",Berkeley; california; 1926;  de la Riva Family Archive; Chicano; Bay Area; family portrait; postcard; Mexican American,Image;Stillimage,application/pdf,,cb051,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb051.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb051.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb051.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb051.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"4""x5""",photograph,500_OHR_03112022_006,,Unknown,
cb052,Rubio family posing for fiestas patrias event,Unknown,,1918-1920,"Likely a posed photo at a meeting for the Latino literary association formed by Domingo Rubio and Francisco Gabriel de la Riva. Three people in the center of the image are each holding a flag; person on left has an American flag, person at center is holding an organizational flag for ""Union Obrera Hispano Americano"", person at right has a Mexican flag. They are all dressed in patriotic Mexican costume. Domingo Rubio is at the center, women on right is Angela Rubio, woman at left is unknown. Bac",1918; 1920; Fiestas Patrias;  de la Riva Family Archive; Chicano; california; Bay Area; family portrait; postcard; Mexican American,Image;Stillimage,application/pdf,,cb052,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb052.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb052.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb052.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb052.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"4""x5""",photograph,500_OHR_03112022_005,,Unknown,
cb053,Rubio family studio portrait,Unknown,,early 1900s,"Studio portrait of the Rubio family printed on a postcard with handwriting identifying each person by name and a letter on the back (identified in 500_OHR_03112022_004b). Postcard was sent to Angela Maria Rubio de la Riva by her brother Domingo who's wife, children, and brother (Amador) are in the photo. Back of postcard with Rubio family printed on front. Printed postcard text is in English. Handwritten text in Spanish reads: ""Te mando esta fotografía de mi esposa, Amador, y mis chiquillos, tu",early 1900s;  de la Riva Family Archive; Chicano; california; Bay Area; Mexican American; studio portrait; family photograph; handwritten; postcard,Image;Stillimage,application/pdf,,cb053,,pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb053.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb053.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb053.pdf,https://raw.githubusercontent.com/marcosvdotcom/sandbox/refs/heads/main/cft/cb053.pdf,Osa Hidalgo de la Riva,,,,Osa Hidalgo de la Riva,"4""x5""",photograph,500_OHR_03112022_004,,Unknown,
