objectid,filename_og,,,,,final file type,,format-CAT,format-almost,format,filename,title,creator,mine,depth,date,description,subject,location,latitude,longitude,source,format original,format_og,type,identifier,language,rights,rightsstatement
cb096,0015_VM092114_0001.png,0015_VM092114_0001,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0001.png,Letter from Illinois Representative Kubik,Jack L. Kubik,Virginia Martinez,,"February 22, 1991",n/a,n/a,,,,Virginia Martinez,n/a,,Correspondence,0015_VM092114_0001.tiff,,Jack L. Kubik,
cb101,0015_VM092114_0009.png,0015_VM092114_0009,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0009.png,Chicago Sun-Times article by Virginia Martinez 2,Virginia Martinez,Virginia Martinez,,"December 20, 1990",n/a,n/a,,,,Virginia Martinez,n/a,,Newspaper article,0015_VM092114_0009.tiff,,Virginia Martinez,
cb104,0015_VM092114_0025.png,0015_VM092114_0025,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0025.png,Chicago Sun-Times article by Virginia Martinez 3,Virginia Martinez,,,"December 27, 1990",n/a,n/a,,,,Virginia Martinez,6x6,,Newspaper article,0015_VM092114_0025.tiff,,Virginia Martinez,
cb100,0015_VM092114_0027.png,0015_VM092114_0027,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0027.png,Chicago Sun-Times article by Virginia Martinez,Virginia Martinez,Virginia Martinez,,"December 13, 1990",n/a,n/a,,,,Virginia Martinez,n/a,,Newspaper article,0015_VM092114_0027.tiff,,Virginia Martinez,
cb102,0015_VM092114_0041a.png,0015_VM092114_0041a,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0041a.png,Nuevo Siglo newspaper profile,N/A,Virginia Martinez,,March 2011,n/a,n/a,,,,Virginia Martinez,n/a,,Newspaper article,0015_VM092114_0041a.tiff,,N/A,
cb099,0015_VM092114_0047_0001all.png,0015_VM092114_0047_0001all,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0047_0001all.png,Today's Chicago Woman feature,N/A,Virginia Martinez,,January 1990,n/a,n/a,,,,Virginia Martinez,n/a,,Newspaper article,0015_VM092114_0047_0001all,,N/A,
cb097,0015_VM092114_0051_0001a.png,0015_VM092114_0051_0001a,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0051_0001a.png,Nosotros Magazín feature,N/A,Virginia Martinez,,January 1997,n/a,n/a,,,,Virginia Martinez,n/a,,Magazine article,0015_VM092114_0051_0001a,,N/A,
cb103,0015_VM092114_0052all.png,0015_VM092114_0052all,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0052all.png,Latinas Impacting the Community profile,Deysi Cuevas,Virginia Martinez,,"March 29, 2013",n/a,n/a,,,,Virginia Martinez,8x12,,Newspaper article,0015_VM092114_0052all.tif,,Deysi Cuevas,
cb098,0015_VM092114_0056b.png,0015_VM092114_0056b,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0015_VM092114_0056b.png,A Place in History feature,Kevin McKeough,Virginia Martinez,,n/a,n/a,n/a,,,,Virginia Martinez,n/a,,n/a,0015_VM092114_0056b.tiff,,Kevin McKeough,
cb309,0447fcb3-6191-4239-baab-cb9b2c78f036.png,0447fcb3-6191-4239-baab-cb9b2c78f036,png,,,png,,image/png,image/png,image/png,https://cpmrark.reclaim.hosting/images/records/0447fcb3-6191-4239-baab-cb9b2c78f036.png,Photo of the Ybarra family,Emily Martinez,,,unknown,"Photo of the Ybarra family taken for the 25th Anniversary of Emily's parents: Top (left to right): Vicki, Opheilia, Guadalupe, Maria Anntonia, Emily; Bottom (left to right): Jamie San Juana, Domingo, Emily's Mom, Emily's Dad, Maria Elena, Dianna",emily martinez; Martinez archive; cpmr; Anna and Elizabeth; Photograph; Domingo Ybarra; Guadalupe Ybarra; Jamie San Juana Ybarra; Maria Antonia Ybarra; Maria Elena Ybarra; Maria Garcia Ybarra; Ophelia Ybarra; Vicenta Ybarra; Vicente Ybarra,,,,Emily Martinez,Unknown,,Photograph,103EM_041014_104.tif,,Emily Martinez,
