objectid,filename_og,title,creator,creator_title,date,date_og,description,subject,type,format,language,identifier,base name,extension,overfow1,overflow2,display_template,base url,image_small,image_thumb,object_location,collection,location,latitude,longitude,source,format original,type-og,identifier-og,language,rights,rightsstatement,image_alt_text
cb058,download (5).png,"¡Alerta!, Serigraph, 1987",Yreina Cervantes,,1987,1987,"¡Alerta! is a serigraph created in Cervántez's time collaborating with the East Side Artistas (ESA). According to Cervántez, the piece along with the ¡Alerta! exhibition is inspired by an instalation, multi-media piece that she completes for her second-semester, first quarter review in her time at The University of California, Berkely. The serigraph addresses the lives lost in the Central American crisis.", AC; Yreina Cervantez; Yreina Cervantez Collection; 1987; 1980s; serigraph; Central American Crisis; East Side Artistas; ESA; ¡Alerta!; Self-Help Graphics; Galeria Otra Vez,Image;Stillimage,image/png,,download(5).png,download(5),png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/download(5)_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/download(5)_th.jpg,https://cpmrark.reclaim.hosting/objects/download(5).png,Yreina Cervantes personal collection,,,,Yreina Cervantes,"ex: 8.5"" by 11""",Photographic Reproduction,303YC_071116_001.tif,,Yreina Cervantes,,"¡Alerta! is a serigraph created in Cervántez's time collaborating with the East Side Artistas (ESA). According to Cervántez, the piece along with the ¡Alerta! exhibition is inspired by an instalation, multi-media piece that she completes for her second-semester, first quarter review in her time at The University of California, Berkely. The serigraph addresses the lives lost in the Central American crisis."
cb280,artist shines article.png,“Artist Shines” Newspaper Article about Carmen Tafolla,Sharon Anthony,,2014-5-13,5/13/2014,,Carmen tafolla; Tafolla archive; artist shines,Image;Stillimage,image/png,,artistshinesarticle.png,artistshinesarticle,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/artistshinesarticle_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/artistshinesarticle_th.jpg,https://cpmrark.reclaim.hosting/objects/artistshinesarticle.png,Carmen Tafolla,,,,Carmen Tafolla,Unknown,image/tiff,203CT_042514_003.tiff,,Sharon Anthony,,
cb213,dontbuy.png,"""Don't Buy Grapes,"" Support Farm Workers Button",Unknown,,2013-12-23,12/23/2013,"""Don't Buy Grapes,"" Support Farm Workers Button",Oral history; 1960s; 1970s; button;  grapes boycott; guadiana archive; maria guadiana; united farm workers,Image;Stillimage,image/png,,dontbuy.png,dontbuy,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/dontbuy_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/dontbuy_th.jpg,https://cpmrark.reclaim.hosting/objects/dontbuy.png,,,,,Maria Guadiana,2080x2176,Image,104MG_120713_002.tiff,,Unknown,,"""Don't Buy Grapes,"" Support Farm Workers Button"
cb084,imageedit_25_9062681682.png,"""ERA's Legacy Calls for Intersectionality in Words and Action,"" Marie Keta Miranda, Women's Studies Quarterly Vol. 43, No. 3/4",Marie,,2015,2015,"Dr. Keta Miranda's article in Women's Studies Quarterly Vol. 43, No. 3/4, THE 1970s (FALL/WINTER 2015), pp. 287-290",n/a,Image;Stillimage,image/png,,imageedit259062681682.png,imageedit259062681682,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/imageedit259062681682_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/imageedit259062681682_th.jpg,https://cpmrark.reclaim.hosting/objects/imageedit259062681682.png,Women's Studies Quarterly website via JSTOR (https://www-jstor-org.proxy.lib.umich.edu/stable/43958576?pq-origsite=summon&seq=1#metadata_info_tab_contents),,,,"Marie ""Keta"" Miranda",8.5x11,n/a,n/a,,Marie,,"Dr. Keta Miranda's article in Women's Studies Quarterly Vol. 43, No. 3/4, THE 1970s (FALL/WINTER 2015), pp. 287-290"
cb068,306EV_081218_103.jpeg,"""Federal Court Lawsuit Filed Against Taos School Chief"" newspaper article",Albuquerque Journal,,1970-5-8,5/8/1970,"A newspaper article titled ""Federal Court Lawsuit Filed Against Taos School Chief"" in the Albuquerque Journal on May 8, 1970. The article covers Enriqueta Vasquez's filing of a federal lawsuit against Taos Junior High School, her daughter Ramona's school. Ramona wore an armband and a Mao Zedong pin to school, but both were confiscated by school authorities and a memorandum was issued banning ""these trouble-making devices.""",Enriqueta Vasquez; Ramona Vasquez; Mao Zedong; Che Guevara; freedom of speech; protest; Albuquerque; New Mexico; student; 1980; 1980s; Vasquez archive; JAG;  Taos Junior High School; U.S. District Court; armband; Albuquerque Journal,Image;Stillimage,image/jpeg,,306ev081218103.jpeg,306ev081218103,jpeg,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/306ev081218103_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/306ev081218103_th.jpg,https://cpmrark.reclaim.hosting/objects/306ev081218103.jpeg,Enriqueta Vasquez,,,,Enriqueta Vasquez,8.5x11,Newspaper article,306EV_081218_103.tiff,,Albuquerque Journal,,"A newspaper article titled ""Federal Court Lawsuit Filed Against Taos School Chief"" in the Albuquerque Journal on May 8, 1970. The article covers Enriqueta Vasquez's filing of a federal lawsuit against Taos Junior High School, her daughter Ramona's school. Ramona wore an armband and a Mao Zedong pin to school, but both were confiscated by school authorities and a memorandum was issued banning ""these trouble-making devices."""
cb277,frank talk around the plaza.png,“Frank Talk Around the Plaza” Newspaper Article,Unknown,,2014-5-13,5/13/2014,Announcement of a talk give by Carmen Tafolla as director of the Mexican American studies program.,Carmen tafolla; san antonio light; 1975; Tafolla archive,Image;Stillimage,image/png,,franktalkaroundtheplaza.png,franktalkaroundtheplaza,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/franktalkaroundtheplaza_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/franktalkaroundtheplaza_th.jpg,https://cpmrark.reclaim.hosting/objects/franktalkaroundtheplaza.png,Carmen Tafolla,,,,Carmen Tafolla,Unknown,image/tiff,203CT_042514_002.tiff,,Unknown,,Announcement of a talk give by Carmen Tafolla as director of the Mexican American studies program.
cb187,Screen Shot 2015-12-08 at 7.56.56 PM.png,"""Los Viejitos"" and The Raza Art and Media Collective Binder Title Page",,,1970s,1970s,"This is the cover of the binder containing documents from the ""Los Viejitos"" project and The Raza Art and Media Collective. The binder also includes some of Ana Cardona's personal documents and corespondance.",Ana Luisa Cardona; Cardona Archive; los viejitos; puerto rico; photographs; 1970s,Image;Stillimage,image/png,,screenshot20151208at7.56.56pm.png,cb187,,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb187_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb187_th.jpg,https://cpmrark.reclaim.hosting/objects/cb187.png,Ana Luisa Cardona,,,,Ana Luisa Cardona,"6""x10""",Binder Cover: Project Title Page,214AC_111215_001_a,,,,"This is the cover of the binder containing documents from the ""Los Viejitos"" project and The Raza Art and Media Collective. The binder also includes some of Ana Cardona's personal documents and corespondance."
cb186,Screen Shot 2015-12-08 at 8.00.16 PM.png,"""Razartes"" March 1978, Schedule",,,1978,1978,"Scan of ""Razartes"" March 1978, Schedule on inside of trifold pamphlet unfolded",ramc; Ana Luisa Cardona; Cardona Archive; university of michigan; 1978; razartes; raza art and media collective; razartes week; los viejitos; trotter house; roberto flores; jesse gonzales; george vargas; harry gamboa; 1970s,Image;Stillimage,image/png,,screenshot20151208at8.00.16pm.png,cb186,,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/cb186_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/cb186_th.jpg,https://cpmrark.reclaim.hosting/objects/cb186.png,Ana Luisa Cardona,,,,Ana Luisa Cardona,"8.5""x11""",Pamphlet,214AC_111215_001_aj,,,,"Scan of ""Razartes"" March 1978, Schedule on inside of trifold pamphlet unfolded"
cb282,houston post article .png,“Upbringing spurs poet by accident to be pugnacious”: Houston Post Newspaper Article,Richard Vara,,2014-8-25,8/25/2014,"Newspaper article about Carmen Tafolla, a short feature about her life/upbringing, her work, and her accomplishments.",Carmen tafolla; Houston; Houston post; Richard vara; Tafolla archive,Image;Stillimage,image/png,,houstonpostarticle.png,houstonpostarticle,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/houstonpostarticle_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/houstonpostarticle_th.jpg,https://cpmrark.reclaim.hosting/objects/houstonpostarticle.png,Carmen Tafolla,,,,Carmen Tafolla,Unknown,application/pdf,203_CT_060214_002.pdf,,Richard Vara,,"Newspaper article about Carmen Tafolla, a short feature about her life/upbringing, her work, and her accomplishments."
cb188,1977-MC-IWY-NWC.png,1977 - Martha Cotera - IWY - NWC,Unknown,,1977,1977,"Photograph shows Martha Cotera at the 1977 International Women's Year National Women's Conference in Houston, Texas.", Martha Cotera; Cotera Archive; Martha Cotera Collection; 1977; International Women's Year; National Women's Conference; Houston; texas,Image;Stillimage,image/png,,1977mciwynwc.png,1977mciwynwc,png,,,image,https://cpmrark.reclaim.hosting/,https://cpmrark.reclaim.hosting/objects/small/1977mciwynwc_sm.jpg,https://cpmrark.reclaim.hosting/objects/thumbs/1977mciwynwc_th.jpg,https://cpmrark.reclaim.hosting/objects/1977mciwynwc.png,Unknown,,,,Martha Cotera Collection,839x553,Photograph,1977-mc-iwy-nwc.png,,Unknown,,"Photograph shows Martha Cotera at the 1977 International Women's Year National Women's Conference in Houston, Texas."
